token,n
Ukraine,6811
Russia,3735
United States of America,335
United Kingdom,183
Poland,169
France,129
Germany,114
Canada,108
Netherlands,97
Italy,78
Turkey,73
Norway,67
Denmark,60
Estonia,59
Lithuania,58
Japan,56
Switzerland,55
Israel,52
Slovakia,52
Latvia,50
Sweden,49
Finland,48
Moldova,47
Georgia,46
Australia,45
Iran,44
Czechia,43
Spain,43
Romania,41
Belarus,35
Greece,33
Ethiopia,30
Ireland,30
Austria,29
Belgium,27
India,27
Indonesia,27
China,26
Bulgaria,24
Syria,24
Portugal,22
Slovenia,18
Somalia,18
Egypt,17
Iceland,17
Yemen,17
Croatia,16
Hungary,15
Luxembourg,13
New Zealand,13
South Korea,13
Albania,12
Libya,12
Kazakhstan,11
Qatar,10
Saudi Arabia,10
Afghanistan,9
Algeria,9
Brazil,9
Cyprus,9
Kenya,9
Lebanon,9
Sudan,9
Bangladesh,7
Chile,7
Mexico,7
Montenegro,7
Morocco,7
United Arab Emirates,6
Azerbaijan,5
Costa Rica,5
Guatemala,5
Malta,5
North Korea,5
Tunisia,5
Congo,4
Ecuador,4
Iraq,4
Pakistan,4
Argentina,3
Bahrain,3
Cambodia,3
Colombia,3
Paraguay,3
Senegal,3
Singapore,3
Vietnam,3
North Macedonia,3
Eritrea,2
Ghana,2
Jordan,2
Kyrgyzstan,2
Mozambique,2
Nicaragua,2
Nigeria,2
Oman,2
South Africa,2
Sri Lanka,2
Uganda,2
Uruguay,2
Zambia,2
Belize,1
Botswana,1
Central African Republic,1
Cuba,1
Djibouti,1
Kuwait,1
Liberia,1
Liechtenstein,1
Monaco,1
Niger,1
Philippines,1
Rwanda,1
Serbia,1
South Sudan,1
Taiwan,1
Tajikistan,1
Turkmenistan,1