id,id_day,date,time,n
1,1,2022-02-24,18H 1M 0S,670
2,1,2022-02-25,1H 10M 0S,659
3,2,2022-02-25,7H 27M 0S,528
4,3,2022-02-25,13H 7M 0S,606
5,1,2022-02-26,38M 0S,612
6,2,2022-02-26,12H 14M 0S,659
7,1,2022-02-27,9H 54M 0S,639
8,2,2022-02-27,10H 21M 0S,476
9,3,2022-02-27,18H 10M 0S,365
10,1,2022-02-28,11H 0M 0S,680
11,2,2022-02-28,23H 48M 0S,689
12,1,2022-03-01,12H 37M 0S,672
13,1,2022-03-02,9H 32M 0S,939
14,1,2022-03-03,1H 14M 0S,1018
15,2,2022-03-03,11H 20M 0S,924
16,1,2022-03-04,11H 21M 0S,826
17,2,2022-03-04,23H 6M 0S,1046
18,1,2022-03-05,11H 22M 0S,905
19,2,2022-03-05,21H 40M 0S,701
20,1,2022-03-06,12H 22M 0S,823
21,2,2022-03-06,23H 9M 0S,793
22,1,2022-03-07,12H 1M 0S,1049
23,2,2022-03-07,23H 42M 0S,1105
24,1,2022-03-08,12H 23M 0S,1007
25,2,2022-03-08,20H 36M 0S,1024
26,3,2022-03-08,23H 36M 0S,958
27,1,2022-03-09,12H 34M 0S,1060
28,2,2022-03-09,23H 56M 0S,820
29,1,2022-03-10,14H 8M 0S,925
30,1,2022-03-11,9M 0S,1336
31,2,2022-03-11,14H 19M 0S,1057
32,3,2022-03-11,19H 26M 0S,1070
33,1,2022-03-12,46M 0S,1524
34,2,2022-03-12,13H 46M 0S,1077
35,3,2022-03-12,19H 21M 0S,1189
36,1,2022-03-13,1H 1M 0S,1378
37,1,2022-03-14,19M 0S,966
38,2,2022-03-14,14H 24M 0S,962
39,1,2022-03-15,1H 29M 0S,1024
40,2,2022-03-15,17H 29M 0S,1280
41,3,2022-03-15,19H 57M 0S,1356
42,1,2022-03-16,1H 46M 0S,1482
43,2,2022-03-16,13H 38M 0S,1088
44,3,2022-03-16,17H 27M 0S,1541
45,1,2022-03-17,1H 5M 0S,1222
46,2,2022-03-17,12H 2M 0S,1307
47,1,2022-03-18,52M 0S,1350
48,2,2022-03-18,15H 35M 0S,1385
49,1,2022-03-19,1H 13M 0S,1319
50,2,2022-03-19,18H 29M 0S,1096
51,1,2022-03-20,2H 33M 0S,1225
52,2,2022-03-20,20H 17M 0S,959
53,1,2022-03-21,49M 0S,819
54,2,2022-03-21,21H 17M 0S,836
55,1,2022-03-22,39M 0S,458
56,2,2022-03-22,13H 35M 0S,1317
57,3,2022-03-22,22H 17M 0S,2133
58,1,2022-03-23,2M 0S,918
59,2,2022-03-23,12H 37M 0S,1499
60,3,2022-03-23,18H 0M 0S,1403
61,1,2022-03-24,18M 0S,1264
62,2,2022-03-24,12H 49M 0S,1194
63,3,2022-03-24,14H 18M 0S,1291
64,4,2022-03-24,17H 21M 0S,1055
65,1,2022-03-25,1H 3M 0S,1378
66,2,2022-03-25,1H 11M 0S,454
67,3,2022-03-25,22H 18M 0S,1410
68,4,2022-03-25,22H 27M 0S,2049
69,1,2022-03-26,23H 31M 0S,1617
70,1,2022-03-28,38M 0S,817
71,2,2022-03-28,23H 55M 0S,1000
72,1,2022-03-29,15H 45M 0S,1552
73,2,2022-03-29,22H 53M 0S,1200
74,1,2022-03-30,17H 22M 0S,1951
75,2,2022-03-30,23H 53M 0S,791
76,1,2022-03-31,11H 38M 0S,1876
77,2,2022-03-31,13H 31M 0S,1929
78,3,2022-03-31,16H 55M 0S,1223
79,1,2022-04-01,5M 0S,1356
80,1,2022-04-02,1H 17M 0S,990
81,1,2022-04-03,5M 0S,1566
82,2,2022-04-03,21H 22M 0S,1382
83,1,2022-04-04,21H 26M 0S,1576
84,1,2022-04-05,38M 0S,1454
85,2,2022-04-05,21H 7M 0S,2065
86,3,2022-04-05,21H 24M 0S,1184
87,1,2022-04-06,16M 0S,927
88,2,2022-04-06,14H 13M 0S,1653
89,1,2022-04-07,30M 0S,1658
90,2,2022-04-07,14H 17M 0S,1500
91,3,2022-04-07,20H 5M 0S,1513
92,4,2022-04-07,23H 39M 0S,1255
93,1,2022-04-08,15H 5M 0S,1931
94,2,2022-04-08,23H 37M 0S,1092
95,1,2022-04-09,22H 27M 0S,1130
96,1,2022-04-10,23H 45M 0S,1171
97,1,2022-04-11,13H 22M 0S,1677
98,1,2022-04-12,7M 0S,1079
99,1,2022-04-13,36M 0S,1466
100,2,2022-04-13,14H 12M 0S,1694
101,3,2022-04-13,23H 6M 0S,789
102,1,2022-04-14,23H 59M 0S,1395
103,1,2022-04-15,23H 31M 0S,1451
104,1,2022-04-16,23H 54M 0S,1250
105,1,2022-04-17,23H 41M 0S,1213
106,1,2022-04-18,23H 15M 0S,1210
107,1,2022-04-19,22H 49M 0S,1210
108,1,2022-04-20,22H 18M 0S,1203
109,1,2022-04-21,20H 50M 0S,1787
110,1,2022-04-22,5M 0S,1615
111,2,2022-04-22,26M 0S,793
112,3,2022-04-22,22H 53M 0S,1118
113,1,2022-04-24,24M 0S,764
114,2,2022-04-24,9H 9M 0S,1222
115,1,2022-04-25,10H 58M 0S,1359
116,2,2022-04-25,23H 7M 0S,1114
117,1,2022-04-26,22H 48M 0S,1552
118,1,2022-04-27,20H 50M 0S,937
119,1,2022-04-28,22H 57M 0S,1058
120,1,2022-04-29,22H 3M 0S,918
121,1,2022-04-30,23H 35M 0S,1110
122,1,2022-05-01,21H 22M 0S,756
123,1,2022-05-02,22H 51M 0S,981
124,1,2022-05-03,15H 11M 0S,1223
125,2,2022-05-03,16H 3M 0S,1320
126,3,2022-05-03,23H 56M 0S,859
127,1,2022-05-04,23H 51M 0S,661
128,1,2022-05-05,45M 0S,780
129,2,2022-05-05,15H 15M 0S,735
130,3,2022-05-05,23H 58M 0S,1211
131,1,2022-05-06,20H 8M 0S,1494
132,2,2022-05-06,20H 48M 0S,990
133,3,2022-05-06,23H 35M 0S,791
134,1,2022-05-07,22H 41M 0S,809
135,1,2022-05-08,9H 5M 0S,1754
136,2,2022-05-08,22H 16M 0S,1468
137,3,2022-05-08,23H 54M 0S,944
138,1,2022-05-09,9H 5M 0S,765
139,2,2022-05-09,23H 56M 0S,775
140,1,2022-05-10,15H 19M 0S,1540
141,2,2022-05-10,22H 46M 0S,717
142,1,2022-05-11,19H 15M 0S,1521
143,2,2022-05-11,22H 18M 0S,897
144,1,2022-05-12,8H 46M 0S,857
145,2,2022-05-12,23H 16M 0S,779
146,1,2022-05-13,23H 8M 0S,718
147,1,2022-05-14,22H 51M 0S,662
148,1,2022-05-15,23H 1M 0S,748
149,1,2022-05-16,20H 52M 0S,1367
150,1,2022-05-17,17M 0S,528
151,2,2022-05-17,23H 48M 0S,1186
152,1,2022-05-18,24M 0S,501
153,2,2022-05-18,13H 52M 0S,816
154,3,2022-05-18,23H 42M 0S,889
155,1,2022-05-19,20H 3M 0S,1969
156,2,2022-05-19,23H 51M 0S,832
157,1,2022-05-20,22H 25M 0S,890
158,1,2022-05-21,23H 45M 0S,822
159,1,2022-05-22,16H 3M 0S,1553
160,2,2022-05-22,23H 31M 0S,755
161,1,2022-05-23,14H 55M 0S,2051
162,2,2022-05-23,22H 21M 0S,821
163,1,2022-05-24,22H 55M 0S,1031
164,1,2022-05-25,23H 43M 0S,1032
165,1,2022-05-26,16H 22M 0S,1446
166,2,2022-05-26,23H 51M 0S,1066
167,1,2022-05-27,15H 18M 0S,1752
168,2,2022-05-27,22H 53M 0S,1748
169,3,2022-05-27,23H 44M 0S,747
170,1,2022-05-28,21H 59M 0S,689
171,1,2022-05-29,20H 58M 0S,1228
172,1,2022-05-30,20H 14M 0S,1913
173,2,2022-05-30,23H 28M 0S,873
174,1,2022-05-31,22H 35M 0S,898
175,1,2022-06-02,23M 0S,942
176,2,2022-06-02,13H 30M 0S,1533
177,3,2022-06-02,18H 11M 0S,1476
178,4,2022-06-02,23H 58M 0S,971
179,1,2022-06-03,21H 35M 0S,1127
180,1,2022-06-04,9H 7M 0S,923
181,2,2022-06-04,10H 28M 0S,460
182,3,2022-06-04,23H 17M 0S,689
183,1,2022-06-05,21H 15M 0S,323
184,1,2022-06-06,1H 18M 0S,246
185,2,2022-06-06,23H 58M 0S,847
186,1,2022-06-07,23H 59M 0S,1066
187,1,2022-06-08,17H 46M 0S,795
188,2,2022-06-08,22H 38M 0S,684
189,1,2022-06-09,9H 25M 0S,1345
190,2,2022-06-09,14H 34M 0S,1214
191,3,2022-06-09,23H 54M 0S,854
192,1,2022-06-10,13H 3M 0S,1308
193,2,2022-06-10,22H 54M 0S,1181
194,1,2022-06-11,9M 0S,784
195,2,2022-06-11,13H 20M 0S,1438
196,3,2022-06-11,23H 30M 0S,575
197,1,2022-06-12,21H 18M 0S,427
198,2,2022-06-12,21H 46M 0S,638
199,1,2022-06-13,13H 22M 0S,680
200,2,2022-06-13,21H 52M 0S,1059
201,1,2022-06-14,22H 29M 0S,662
202,1,2022-06-15,15H 23M 0S,1448
203,2,2022-06-15,22H 46M 0S,648
204,1,2022-06-16,22H 17M 0S,762
205,1,2022-06-17,9H 45M 0S,1146
206,2,2022-06-17,21H 32M 0S,741
207,1,2022-06-19,5H 56M 0S,452
208,2,2022-06-19,22H 55M 0S,549
209,1,2022-06-20,16H 16M 0S,780
210,2,2022-06-20,16H 57M 0S,1489
211,3,2022-06-20,17H 53M 0S,1190
212,1,2022-06-21,1M 0S,906
213,2,2022-06-21,12H 58M 0S,283
214,3,2022-06-21,23H 38M 0S,820
215,1,2022-06-22,11H 54M 0S,254
216,2,2022-06-22,21H 20M 0S,1070
217,1,2022-06-23,20M 0S,833
218,2,2022-06-23,15H 35M 0S,1977
219,3,2022-06-23,22H 26M 0S,1205
220,1,2022-06-24,9H 37M 0S,1621
221,2,2022-06-24,19H 30M 0S,213
222,3,2022-06-24,23H 23M 0S,542
223,1,2022-06-25,25M 0S,158
224,2,2022-06-25,22H 45M 0S,569
225,1,2022-06-26,22H 47M 0S,833
226,1,2022-06-27,22H 39M 0S,728
227,1,2022-06-28,9H 2M 0S,1380
228,1,2022-06-29,0S,1564
229,2,2022-06-29,19M 0S,480
230,3,2022-06-29,13H 56M 0S,1729
231,4,2022-06-29,22H 49M 0S,754
232,1,2022-06-30,23H 32M 0S,554
233,1,2022-07-01,8H 3M 0S,1022
234,2,2022-07-01,11H 43M 0S,1208
235,3,2022-07-01,23H 27M 0S,596
236,1,2022-07-02,23H 10M 0S,631
237,1,2022-07-03,22H 46M 0S,841
238,1,2022-07-04,14H 42M 0S,730
239,2,2022-07-04,16H 44M 0S,1928
240,3,2022-07-04,22H 13M 0S,819
241,1,2022-07-05,12H 25M 0S,1424
242,2,2022-07-05,21H 35M 0S,715
243,1,2022-07-06,22H 30M 0S,731
244,1,2022-07-07,22H 59M 0S,661
245,1,2022-07-08,16H 45M 0S,1672
246,1,2022-07-09,37M 0S,537
247,2,2022-07-09,22H 15M 0S,500
248,1,2022-07-10,22H 25M 0S,557
249,1,2022-07-11,22H 32M 0S,751
250,1,2022-07-12,22H 42M 0S,685
251,1,2022-07-13,15H 4M 0S,1018
252,2,2022-07-13,22H 11M 0S,675
253,1,2022-07-14,17H 11M 0S,1462
254,2,2022-07-14,22H 50M 0S,745
255,1,2022-07-15,23H 19M 0S,647
256,1,2022-07-16,21H 59M 0S,732
257,1,2022-07-17,22H 30M 0S,967
258,1,2022-07-18,22H 37M 0S,475
259,1,2022-07-19,22H 59M 0S,867
260,1,2022-07-20,22H 6M 0S,803
261,1,2022-07-21,22H 25M 0S,837
262,1,2022-07-22,22H 28M 0S,725
263,1,2022-07-23,19H 4M 0S,981
264,2,2022-07-23,23H 42M 0S,689
265,1,2022-07-24,22H 2M 0S,462
266,1,2022-07-25,21H 28M 0S,598
267,1,2022-07-26,20H 20M 0S,896
268,2,2022-07-26,22H 38M 0S,652
269,1,2022-07-27,22H 45M 0S,571
270,1,2022-07-28,10H 41M 0S,1009
271,2,2022-07-28,16H 15M 0S,1504
272,3,2022-07-28,23H 22M 0S,704
273,1,2022-07-29,23H 51M 0S,676
274,1,2022-07-30,22H 22M 0S,569
275,1,2022-07-31,22H 11M 0S,594
276,1,2022-08-01,22H 22M 0S,763
277,1,2022-08-02,21H 50M 0S,811
278,1,2022-08-03,13H 59M 0S,1192
279,2,2022-08-03,22H 43M 0S,817
280,1,2022-08-04,22H 38M 0S,779
281,1,2022-08-05,22H 43M 0S,835
282,1,2022-08-06,22H 47M 0S,865
283,1,2022-08-07,21H 7M 0S,627
284,1,2022-08-08,22H 57M 0S,924
285,1,2022-08-09,23H 11M 0S,725
286,1,2022-08-10,22H 34M 0S,763
287,1,2022-08-11,14H 8M 0S,1560
288,2,2022-08-11,22H 52M 0S,832
289,1,2022-08-12,23H 19M 0S,725
290,1,2022-08-13,21H 56M 0S,767
291,1,2022-08-14,22H 11M 0S,582
292,1,2022-08-15,22H 52M 0S,873
293,1,2022-08-16,22H 9M 0S,851
294,1,2022-08-17,21H 33M 0S,1387
295,2,2022-08-17,21H 41M 0S,584
296,1,2022-08-18,21H 6M 0S,826
297,1,2022-08-19,22H 43M 0S,612
298,1,2022-08-20,21H 22M 0S,647
299,1,2022-08-22,45M 0S,544
300,2,2022-08-22,21H 57M 0S,828
301,1,2022-08-23,17H 5M 0S,2153
302,2,2022-08-23,20H 49M 0S,1077
303,1,2022-08-24,9H 7M 0S,1343
304,2,2022-08-24,21H 21M 0S,1400
305,3,2022-08-24,23H 29M 0S,283
306,1,2022-08-25,22H 18M 0S,1009
307,1,2022-08-26,22H 36M 0S,830
308,1,2022-08-27,22H 5M 0S,653
309,1,2022-08-28,21H 47M 0S,464
310,1,2022-08-29,15H 49M 0S,1816
311,2,2022-08-29,17H 39M 0S,1521
312,3,2022-08-29,21H 12M 0S,1507
313,4,2022-08-29,22H 47M 0S,619
314,1,2022-08-30,22H 3M 0S,911
315,1,2022-08-31,20H 17M 0S,1743
316,2,2022-08-31,23H 0M 0S,661
317,1,2022-09-01,25M 0S,477
318,2,2022-09-01,8H 1M 0S,908
319,3,2022-09-01,10H 3M 0S,327
320,4,2022-09-01,22H 27M 0S,1168
321,1,2022-09-02,12H 26M 0S,1849
322,2,2022-09-02,21H 50M 0S,564
323,1,2022-09-03,21H 20M 0S,572
324,1,2022-09-04,22H 20M 0S,850
325,1,2022-09-05,22H 10M 0S,865
326,1,2022-09-06,19H 48M 0S,1488
327,2,2022-09-06,23H 27M 0S,1307
328,1,2022-09-07,22H 33M 0S,1409
329,1,2022-09-08,22H 11M 0S,935
330,1,2022-09-09,22H 18M 0S,1008
331,1,2022-09-10,21H 34M 0S,943
332,2,2022-09-10,22H 32M 0S,1973
333,1,2022-09-11,22H 10M 0S,1630
334,1,2022-09-12,23H 0M 0S,1098
335,1,2022-09-13,22H 10M 0S,745
336,1,2022-09-15,2H 10M 0S,1044
337,2,2022-09-15,23H 39M 0S,1154
338,1,2022-09-16,22H 38M 0S,794
339,1,2022-09-17,21H 44M 0S,628
340,1,2022-09-18,21H 30M 0S,419
341,1,2022-09-19,20H 5M 0S,625
342,1,2022-09-21,29M 0S,778
343,2,2022-09-21,2H 19M 0S,774
344,1,2022-09-22,2H 12M 0S,2960
345,2,2022-09-22,22H 0M 0S,990
346,1,2022-09-23,10H 2M 0S,1445
347,2,2022-09-23,14H 46M 0S,445
348,3,2022-09-23,23H 14M 0S,1660
349,1,2022-09-24,21H 59M 0S,913
350,1,2022-09-25,23H 25M 0S,907
351,1,2022-09-26,22H 41M 0S,791
352,1,2022-09-27,23H 22M 0S,920
353,2,2022-09-27,23H 56M 0S,652
354,1,2022-09-28,9H 37M 0S,1863
355,2,2022-09-28,22H 52M 0S,1068
356,3,2022-09-28,23H 10M 0S,733
357,1,2022-09-29,20H 21M 0S,1025
358,2,2022-09-29,22H 6M 0S,863
359,1,2022-09-30,17H 2M 0S,861
360,2,2022-09-30,21H 43M 0S,826
361,1,2022-10-01,21H 28M 0S,717
362,1,2022-10-02,23H 3M 0S,1075
363,1,2022-10-03,23H 44M 0S,938
364,1,2022-10-04,22H 44M 0S,708
365,1,2022-10-05,9H 51M 0S,1459
366,2,2022-10-05,22H 49M 0S,1001
367,1,2022-10-06,8H 31M 0S,988
368,2,2022-10-06,13H 42M 0S,1553
369,3,2022-10-06,17H 5M 0S,1285
370,4,2022-10-06,22H 27M 0S,922
371,1,2022-10-07,14H 44M 0S,1530
372,2,2022-10-07,21H 26M 0S,599
373,1,2022-10-08,15H 27M 0S,1081
374,2,2022-10-08,21H 25M 0S,613
375,1,2022-10-09,22H 14M 0S,755
376,1,2022-10-10,11H 9M 0S,215
377,2,2022-10-10,21H 46M 0S,1143
378,1,2022-10-11,17H 3M 0S,1477
379,2,2022-10-11,20H 15M 0S,1036
380,3,2022-10-11,21H 29M 0S,880
381,1,2022-10-12,22H 21M 0S,692
